Date,Open,High,Low,Close,Volume,Adj Close*,Log returns,Daily returns
31-Dec-07,13364.2,13364.7,13246.5,13264.8,1672400,13264.8,0,0
2-Jan-08,13261.8,13279.5,12991.4,13044,2395800,13044,-0.007289916,-0.016645558
3-Jan-08,13044.1,13137.9,13023.6,13056.7,2006200,13056.7,0.000422635,0.000973628
4-Jan-08,13046.6,13046.7,12789,12800.2,3042100,12800.2,-0.00861667,-0.019645086
7-Jan-08,12801.2,12884.2,12733.8,12827.5,3067000,12827.5,0.000925268,0.002132779
8-Jan-08,12820.9,12906.4,12565.4,12589.1,3226900,12589.1,-0.00814734,-0.018585071
9-Jan-08,12590.2,12738.6,12501.8,12735.3,3329000,12735.3,0.005014497,0.011613221
10-Jan-08,12733.1,12931.3,12632.2,12853.1,3253300,12853.1,0.003998707,0.00924988
11-Jan-08,12850.7,12851.1,12543.9,12606.3,3018900,12606.3,-0.008420248,-0.019201593
14-Jan-08,12613.8,12794.6,12613.7,12778.2,2453700,12778.2,0.005882043,0.013636039
15-Jan-08,12777.5,12777.5,12488.8,12501.1,3397000,12501.1,-0.009521452,-0.02168537
16-Jan-08,12476.8,12613.1,12392.3,12466.2,5000400,12466.2,-0.001214139,-0.002791754
17-Jan-08,12467.1,12517.6,12125.6,12159.2,4398300,12159.2,-0.010829088,-0.02462659
18-Jan-08,12159.9,12341.5,12022.5,12099.3,4833000,12099.3,-0.002144757,-0.004926311
22-Jan-08,12092.7,12092.7,11634.8,11971.2,5065000,11971.2,-0.004622559,-0.010587389
23-Jan-08,11969.1,12276.7,11644.8,12270.2,5365200,12270.2,0.010713955,0.024976611
24-Jan-08,12272.7,12399.2,12241.8,12378.6,3879000,12378.6,0.003819888,0.008834412
25-Jan-08,12391.7,12486.9,12183.7,12207.2,3936600,12207.2,-0.006055469,-0.013846477
28-Jan-08,12205.7,12386,12112.1,12383.9,2789900,12383.9,0.006241376,0.014475064
29-Jan-08,12385.2,12503.2,12347,12480.3,2850900,12480.3,0.003367589,0.007784301
30-Jan-08,12480.1,12681.4,12406.2,12442.8,3346800,12442.8,-0.001306904,-0.003004735
31-Jan-08,12438.3,12702.4,12249.9,12650.4,3943300,12650.4,0.007186137,0.016684348
1-Feb-08,12638.2,12767.7,12602.3,12743.2,3795800,12743.2,0.003174241,0.007335736
4-Feb-08,12743.1,12749.8,12621.8,12635.2,2374100,12635.2,-0.003696379,-0.008475108
5-Feb-08,12631.9,12631.9,12264.1,12265.1,3343800,12265.1,-0.012911027,-0.029291187
6-Feb-08,12257.3,12390.3,12178.2,12200.1,2963600,12200.1,-0.002307703,-0.00529959
7-Feb-08,12196.2,12332.5,12120.4,12247,3262000,12247,0.001666327,0.003844231
8-Feb-08,12248.5,12281.9,12103.4,12182.1,2622000,12182.1,-0.002307558,-0.005299257
11-Feb-08,12181.9,12252.1,12069.5,12240,2681000,12240,0.002059258,0.004752875
12-Feb-08,12241.6,12469.4,12241.6,12373.4,2569700,12373.4,0.004707635,0.010898693
13-Feb-08,12368.1,12573.1,12367.8,12552.2,2363000,12552.2,0.006230798,0.014450353
14-Feb-08,12551.5,12557.6,12361.5,12377,2337900,12377,-0.00610446,-0.013957713
15-Feb-08,12376.7,12376.7,12278.6,12348.2,2898000,12348.2,-0.001011736,-0.002326897
19-Feb-08,12349.6,12505.3,12304.1,12337.2,2575500,12337.2,-0.00038705,-0.000890818
20-Feb-08,12333.3,12464.1,12227.7,12427.3,2979900,12427.3,0.003160177,0.007303116
21-Feb-08,12426.9,12503.5,12247.3,12284.3,2934200,12284.3,-0.005026369,-0.011506924
22-Feb-08,12281.1,12397.8,12155.3,12381,3070900,12381,0.00340531,0.007871836
25-Feb-08,12380.8,12584.6,12341,12570.2,2886000,12570.2,0.006586464,0.01528148
26-Feb-08,12569.5,12734.2,12512.4,12684.9,2917600,12684.9,0.00394486,0.009124755
27-Feb-08,12683.5,12756.6,12609.4,12694.3,2637200,12694.3,0.00032171,0.000741039
28-Feb-08,12689.3,12689.4,12536.4,12582.2,2472700,12582.2,-0.003852173,-0.008830735
29-Feb-08,12579.6,12580.2,12223.6,12266.4,3518700,12266.4,-0.011039462,-0.025098949
3-Mar-08,12264.4,12281.4,12161.1,12258.9,2597300,12258.9,-0.00026562,-0.000611426
4-Mar-08,12259.1,12259.2,12032.4,12213.8,3477200,12213.8,-0.001600698,-0.00367896
